ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
6398	-77.775	7.175	Pacífico norte y central	CHOCÓ	JURADÓ	27	22.1	51	3	51
6399	-77.725	7.175	Pacífico norte y central	CHOCÓ	JURADÓ	28.1	22.4	49.6	3	49.6
6400	-77.675	7.175	Pacífico norte y central	CHOCÓ	JURADÓ	27.6	22	50.4	3	50.4
6401	-77.625	7.175	Pacífico norte y central	CHOCÓ	JURADÓ	27.7	19.9	52.4	3	52.4
6402	-77.575	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.6	19.2	53.2	3	53.2
6403	-77.525	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.3	19.7	53	3	53
6404	-77.475	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.4	19.2	53.4	3	53.4
6405	-77.425	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.5	18.1	54.4	3	54.4
6406	-77.375	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.7	18.9	53.4	3	53.4
6407	-77.325	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.8	18.8	53.3	3	53.3
6408	-77.275	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	27.7	17.4	54.9	3	54.9
6409	-77.225	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	26.8	17.9	55.3	3	55.3
6410	-77.175	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	26.4	19	54.6	3	54.6
6411	-77.125	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	25.7	16	58.3	3	58.3
6412	-77.075	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	26.6	14.5	58.9	3	58.9
6413	-77.025	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	26.8	14.9	58.3	3	58.3
6414	-76.975	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	27.6	13.6	58.8	3	58.8
6415	-76.925	7.175	Sinú - San Jorge - Porce	CHOCÓ	CARMEN DEL DARIÉN	18.7	12.2	69	3	69
6416	-76.875	7.175	Sinú - San Jorge - Porce	CHOCÓ	CARMEN DEL DARIÉN	18.3	12	69.7	3	69.7
6417	-76.825	7.175	Sinú - San Jorge - Porce	CHOCÓ	CARMEN DEL DARIÉN	16.6	12.1	71.3	3	71.3
6418	-76.775	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	22.9	16.8	60.3	3	60.3
6419	-76.725	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	22.1	19.2	58.7	3	58.7
6420	-76.675	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	21.2	18.9	59.9	3	59.9
6421	-76.625	7.175	Pacífico norte y central	CHOCÓ	CARMEN DEL DARIÉN	20.1	20.5	59.5	3	59.5
6422	-76.575	7.175	Pacífico norte y central	CHOCÓ	RIOSUCIO	19.6	21.6	58.8	3	58.8
6423	-76.525	7.175	Medellín - Carare - Opón	CHOCÓ	RIOSUCIO	10.7	17	72.3	3	72.3
6424	-76.475	7.175	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	11.4	17.4	71.2	3	71.2
6425	-76.425	7.175	Medellín - Carare - Opón	ANTIOQUIA	DABEIBA	11	15.8	73.2	3	73.2
6426	-76.375	7.175	Medellín - Carare - Opón	ANTIOQUIA	DABEIBA	11.1	13.4	75.5	3	75.5
6427	-76.325	7.175	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	9.9	14.1	76	3	76
6428	-76.275	7.175	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	9.9	12	78.1	3	78.1
6429	-76.225	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	10	10.4	79.6	3	79.6
6430	-76.175	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	12.9	10.5	76.6	3	76.6
6431	-76.125	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	12.9	12.1	75	3	75
6432	-76.075	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	13.3	13.8	73	3	73
6433	-76.025	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	14.7	17.5	67.8	3	67.8
6434	-75.975	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	13.9	17.1	69.1	3	69.1
6435	-75.925	7.175	Medellín - Carare - Opón	ANTIOQUIA	PEQUE	13.3	13.9	72.8	3	72.8
6436	-75.875	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	12.5	18.1	69.4	3	69.4
6437	-75.825	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	12.6	16.5	70.9	3	70.9
6438	-75.775	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	12.9	16.1	71	3	71
6439	-75.725	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	11	22.5	66.5	3	66.5
