ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Correlacion_Pearson	Correlacion_Spearman	Hit-Skill-Score	k-2AFC-Score	k-2AFC-Categorical	k-2AFC-Continuous	ROC-above	ROC-below
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.3	0.4	26.74	62.35	71.33	66.89	0.67	0.71
42	-71.925	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.25	0.36	-2.33	61.35	58.89	64.12	0.61	0.7
43	-71.875	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.36	0.49	23.26	66.33	72.68	71.06	0.77	0.73
44	-71.825	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.24	0.34	9.3	61.57	61.71	61.95	0.59	0.69
45	-71.775	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.22	0.32	2.33	61.13	60.57	63.9	0.63	0.69
46	-71.725	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
47	-71.675	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.11	0.02	5.81	52.16	46.13	46.31	0.41	0.47
48	-71.625	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.11	-0.04	-2.33	49.06	43.56	48.35	0.49	0.47
49	-71.575	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.16	-0.11	2.33	47.51	51.88	39.54	0.36	0.4
50	-71.525	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.3	-0.26	-9.3	41.97	50	35.12	0.29	0.36
51	-71.475	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.19	-0.13	-9.3	46.29	49.76	42.86	0.4	0.43
52	-71.425	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.21	-0.17	-9.3	44.41	47.72	39.19	0.39	0.36
53	-71.375	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.24	-0.24	-23.26	42.19	43.5	36.75	0.33	0.36
54	-71.325	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.56	-0.63	16.28	26.25	55.62	21.01	0.14	0.22
55	-71.275	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.55	-0.64	19.77	25.03	59.74	21.27	0.16	0.22
56	-71.225	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.51	-0.57	-9.3	30.34	50	23.09	0.19	0.24
57	-72.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.24	0.29	-2.33	60.91	67.27	65.79	0.6	0.72
58	-72.125	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.4	0.43	9.3	64.89	68.16	67.75	0.69	0.7
59	-72.075	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.41	0.41	5.81	64.01	68.78	68.04	0.67	0.72
60	-72.025	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
61	-71.975	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	0.42	-30.23	54.98	11.9	11.9	0.12	0.12
62	-71.875	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.29	0.42	16.28	64.78	65.85	68.13	0.72	0.69
63	-71.825	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.23	0.3	-2.33	61.13	56.54	62.25	0.6	0.67
64	-71.775	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.16	0.31	2.33	62.46	58.91	61.93	0.59	0.67
65	-71.725	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
66	-71.675	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
67	-71.625	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
68	-71.575	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.5	-0.32	54.65	39.42	71.78	18.15	0.16	0.17
