ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Correlacion_Pearson	Correlacion_Spearman	Hit-Skill-Score	k-2AFC-Score	k-2AFC-Categorical	k-2AFC-Continuous	ROC-above	ROC-below
9443	-75.725	6.175	Medellín - Carare - Opón	ANTIOQUIA	HELICONIA	0.31	0.34	16.28	60.8	59.8	64.71	0.68	0.65
9444	-75.675	6.175	Medellín - Carare - Opón	ANTIOQUIA	MEDELLÍN	0.31	0.38	19.77	62.35	63.58	65.37	0.67	0.69
9445	-75.625	6.175	Medellín - Carare - Opón	ANTIOQUIA	ITAGÜÍ	0.33	0.39	19.77	62.68	63.58	66.02	0.67	0.7
9446	-75.575	6.175	Medellín - Carare - Opón	ANTIOQUIA	ENVIGADO	0.38	0.43	16.28	64.34	63.64	69.32	0.74	0.7
9447	-75.525	6.175	Medellín - Carare - Opón	ANTIOQUIA	ENVIGADO	0.39	0.45	23.26	64.45	66.96	69.16	0.77	0.67
9448	-75.475	6.175	Medellín - Carare - Opón	ANTIOQUIA	RIONEGRO	0.38	0.42	9.3	63.12	65.83	70.13	0.79	0.67
9449	-75.425	6.175	Medellín - Carare - Opón	ANTIOQUIA	RIONEGRO	0.39	0.43	16.28	63.79	66.23	68.67	0.8	0.64
9450	-75.375	6.175	Medellín - Carare - Opón	ANTIOQUIA	RIONEGRO	0.47	0.45	9.3	65.34	64.29	70.45	0.79	0.67
9451	-75.325	6.175	Medellín - Carare - Opón	ANTIOQUIA	MARINILLA	0.47	0.44	5.81	65.12	63.96	69.64	0.76	0.68
9452	-75.275	6.175	Medellín - Carare - Opón	ANTIOQUIA	MARINILLA	0.49	0.47	16.28	66.22	64.37	71.27	0.76	0.71
9453	-75.225	6.175	Medellín - Carare - Opón	ANTIOQUIA	PEÑOL	0.55	0.51	19.77	67.55	68.73	75.08	0.8	0.76
9454	-75.175	6.175	Medellín - Carare - Opón	ANTIOQUIA	PEÑOL	0.59	0.51	23.26	68.55	72.48	75.97	0.8	0.78
9455	-75.125	6.175	Medellín - Carare - Opón	ANTIOQUIA	GRANADA	0.56	0.54	19.77	69.44	71.3	73.98	0.84	0.71
9456	-75.075	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.56	0.55	16.28	69.66	67.69	72.08	0.79	0.7
9457	-75.025	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.56	0.54	19.77	69.77	67.26	71.17	0.75	0.73
9458	-74.975	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.53	0.48	12.79	67.11	69.16	73.7	0.77	0.75
9459	-74.925	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.5	0.45	12.79	66.56	66.4	72.08	0.69	0.78
9460	-74.875	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.45	0.41	23.26	65.56	68.51	72.24	0.77	0.71
9461	-74.825	6.175	Medellín - Carare - Opón	ANTIOQUIA	SAN CARLOS	0.4	0.35	12.79	63.01	56.99	66.99	0.64	0.73
9462	-74.775	6.175	Medellín - Carare - Opón	ANTIOQUIA	PUERTO NARE	0.34	0.29	12.79	60.58	63.44	64.98	0.61	0.71
9463	-74.725	6.175	Medellín - Carare - Opón	ANTIOQUIA	PUERTO NARE	0.36	0.35	2.33	62.24	62.93	66.02	0.67	0.69
9464	-74.675	6.175	Medellín - Carare - Opón	ANTIOQUIA	PUERTO NARE	0.37	0.32	9.3	60.91	59.51	60.65	0.54	0.7
9465	-74.625	6.175	Medellín - Carare - Opón	ANTIOQUIA	PUERTO NARE	0.34	0.31	19.77	60.58	61.85	63.96	0.6	0.7
9466	-74.575	6.175	Medellín - Carare - Opón	BOYACÁ	PUERTO BOYACÁ	0.3	0.28	9.3	60.13	57.87	61.53	0.59	0.66
9467	-74.525	6.175	Medellín - Carare - Opón	BOYACÁ	PUERTO BOYACÁ	0.32	0.3	16.28	60.02	61.46	61.63	0.64	0.62
9468	-74.475	6.175	Medellín - Carare - Opón	BOYACÁ	PUERTO BOYACÁ	0.34	0.3	19.77	60.13	65.58	63.47	0.63	0.67
9469	-74.425	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.35	0.3	9.3	59.58	57.52	57.52	0.6	0.57
9470	-74.375	6.175	Medellín - Carare - Opón	SANTANDER	CIMITARRA	0.35	0.3	12.79	59.47	57.79	56.82	0.56	0.59
9471	-74.325	6.175	Medellín - Carare - Opón	SANTANDER	CIMITARRA	0.36	0.3	12.79	60.02	57.63	58.6	0.58	0.61
9472	-74.275	6.175	Medellín - Carare - Opón	SANTANDER	CIMITARRA	0.41	0.37	26.74	62.79	63.76	66.94	0.72	0.65
9473	-74.225	6.175	Medellín - Carare - Opón	SANTANDER	CIMITARRA	0.45	0.41	19.77	63.9	64.61	67.37	0.74	0.66
9474	-74.175	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.42	0.38	23.26	62.9	62.82	65.1	0.7	0.63
9475	-74.125	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.42	0.38	19.77	62.9	59.66	64.45	0.66	0.65
9476	-74.075	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.39	0.35	19.77	62.02	67.65	67.81	0.69	0.7
9477	-74.025	6.175	Medellín - Carare - Opón	SANTANDER	EL PEÑÓN	0.35	0.33	30.23	61.57	68.18	65.91	0.66	0.69
9478	-73.975	6.175	Medellín - Carare - Opón	SANTANDER	EL PEÑÓN	0.3	0.3	26.74	60.69	68.73	66.45	0.71	0.66
9479	-73.925	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.33	0.34	12.79	62.46	66.83	65.85	0.65	0.7
9480	-73.875	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.32	0.35	12.79	63.01	65.03	65.03	0.65	0.68
9481	-73.825	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.32	0.33	9.3	61.9	63.25	63.58	0.65	0.65
9482	-73.775	6.175	Medellín - Carare - Opón	SANTANDER	BOLÍVAR	0.25	0.28	9.3	60.58	62.26	60.88	0.59	0.65
9483	-73.725	6.175	Medellín - Carare - Opón	SANTANDER	VÉLEZ	0.3	0.32	19.77	62.13	66.4	62.18	0.65	0.62
9484	-73.675	6.175	Medellín - Carare - Opón	SANTANDER	LA PAZ	0.26	0.29	19.77	60.35	65.91	61.2	0.64	0.61
9485	-73.625	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	LA PAZ	0.19	0.21	19.77	57.14	63.31	59.74	0.61	0.6
9486	-73.575	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	LA PAZ	0.18	0.25	16.28	59.8	59.9	60.06	0.63	0.58
9487	-73.525	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	AGUADA	0.21	0.29	26.74	60.47	65.15	64.33	0.7	0.62
9488	-73.475	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	GUADALUPE	0.25	0.31	19.77	60.91	59.8	63.07	0.65	0.62
9489	-73.425	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	SUAITA	0.22	0.23	9.3	58.25	53.82	53.98	0.57	0.51
9490	-73.375	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	SUAITA	0.23	0.25	23.26	58.36	63.23	59.09	0.61	0.59
9491	-73.325	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	OIBA	0.2	0.24	16.28	58.25	61.53	62.82	0.65	0.63
9492	-73.275	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	OIBA	0.23	0.26	16.28	58.8	66.07	60.55	0.61	0.64
9493	-73.225	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	OIBA	0.16	0.17	5.81	56.04	53.9	54.8	0.54	0.57
9494	-73.175	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	CHARALÁ	0.12	0.12	9.3	53.82	52.11	51.95	0.58	0.48
9495	-73.125	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	ENCINO	0.12	0.13	19.77	54.04	52.28	53.42	0.54	0.54
9496	-73.075	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	COROMORO	0.07	0.09	2.33	53.27	53.9	53.73	0.55	0.53
9497	-73.025	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	COROMORO	0.05	0.08	-2.33	52.82	51.95	52.44	0.53	0.52
9498	-72.975	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	COROMORO	0.07	0.07	2.33	52.49	54.15	52.77	0.57	0.49
9499	-72.925	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	COROMORO	-0.03	-0.05	2.33	48.73	51.79	45.94	0.51	0.4
9500	-72.875	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	COROMORO	0	0.04	12.79	51.16	59.74	52.27	0.56	0.5
9501	-72.825	6.175	Sogamoso - Lebrija - altiplano	SANTANDER	ONZAGA	0.03	0.05	5.81	51.94	55.37	53.33	0.58	0.5
9502	-72.775	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	SATIVANORTE	0.03	0.05	5.81	51.72	56.13	58.01	0.61	0.55
9503	-72.725	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	SUSACÓN	-0.04	-0.01	9.3	50.17	53.66	52.2	0.61	0.44
9504	-72.675	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	SATIVANORTE	-0.07	-0.05	9.3	48.5	49.59	48.21	0.56	0.41
9505	-72.625	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	JERICÓ	-0.07	-0.06	9.3	48.28	52.11	49.19	0.55	0.44
9506	-72.575	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	JERICÓ	-0.05	-0.04	16.28	48.28	51.7	48.21	0.56	0.4
9507	-72.525	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	CHITA	-0.06	-0.04	5.81	48.73	47.89	46.92	0.51	0.42
9508	-72.475	6.175	Sogamoso - Lebrija - altiplano	BOYACÁ	CHITA	-0.02	-0.02	-2.33	49.39	45.93	49.27	0.6	0.39
9509	-72.425	6.175	Orinoquia occidental	BOYACÁ	CHITA	-0.1	0.01	9.3	51.38	50.57	50	0.52	0.48
9510	-72.375	6.175	Orinoquia occidental	CASANARE	LA SALINA	-0.04	0.07	9.3	52.82	55.11	52.76	0.59	0.47
9511	-72.325	6.175	Orinoquia occidental	CASANARE	LA SALINA	-0.05	0.09	9.3	52.71	54.87	54.22	0.58	0.52
9512	-72.275	6.175	Orinoquia occidental	ARAUCA	TAME	-0.03	0.1	2.33	53.05	56.82	51.14	0.47	0.56
9513	-72.225	6.175	Orinoquia occidental	ARAUCA	TAME	-0.09	0.02	-16.28	50.61	48.86	48.04	0.48	0.49
9514	-72.175	6.175	Orinoquia occidental	ARAUCA	TAME	-0.06	0.04	9.3	51.38	56.82	50.97	0.5	0.51
9515	-72.125	6.175	Orinoquia occidental	ARAUCA	TAME	-0.04	0.1	12.79	53.71	58.71	52.93	0.52	0.54
9516	-72.075	6.175	Orinoquia occidental	ARAUCA	TAME	-0.02	0.17	9.3	55.81	58.36	60.55	0.57	0.67
9517	-72.025	6.175	Orinoquia occidental	ARAUCA	TAME	-0.01	0.15	5.81	55.15	59.09	61.04	0.57	0.68
9518	-71.975	6.175	Orinoquia occidental	ARAUCA	TAME	-0.03	0.11	12.79	53.93	59.42	57.95	0.56	0.63
9519	-71.925	6.175	Orinoquia occidental	ARAUCA	TAME	-0.01	0.14	5.81	54.71	58.44	55.36	0.54	0.59
9520	-71.875	6.175	Orinoquia occidental	ARAUCA	TAME	-0.07	0.06	2.33	51.83	54.71	50.97	0.49	0.54
9521	-71.825	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0	0.13	-2.33	54.49	61.38	55.45	0.48	0.65
9522	-71.775	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.01	0.14	-2.33	54.82	61.38	55.12	0.48	0.64
9523	-71.725	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.03	0.14	5.81	54.49	60.29	55.07	0.53	0.58
9524	-71.675	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0	0.13	-30.23	54.26	61.03	54.58	0.41	0.67
9525	-71.625	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.01	0.11	-30.23	53.38	59.11	51.87	0.39	0.65
9526	-71.575	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.02	0.07	-23.26	52.6	61.38	51.71	0.38	0.65
9527	-71.525	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.07	0.02	-2.33	50.5	54.71	48.38	0.45	0.52
9528	-71.475	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.05	0.08	-23.26	52.49	53.49	50.97	0.42	0.61
9529	-71.425	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.04	0.09	-9.3	52.71	52.44	51.3	0.47	0.57
9530	-71.375	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.04	0.06	5.81	52.05	54.97	52.77	0.53	0.53
9531	-71.325	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.02	0.06	5.81	51.83	59.09	49.03	0.49	0.49
9532	-71.275	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.07	0.11	2.33	53.49	60.88	53.9	0.5	0.58
9533	-71.225	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.06	0.08	2.33	52.6	57.06	51.46	0.5	0.53
9534	-71.175	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.01	0.04	-2.33	51.16	54.06	50.97	0.49	0.53
9535	-71.125	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.04	0.02	-2.33	51.16	55.19	49.51	0.51	0.48
9536	-71.075	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.03	0.03	-9.3	51.27	54.71	53.25	0.51	0.55
9537	-71.025	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.01	0.03	-9.3	52.05	54.14	50.81	0.46	0.55
9538	-70.975	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.01	0.06	-9.3	52.93	57.82	53.09	0.52	0.55
9539	-70.925	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.04	0.06	-9.3	53.16	53.58	50.08	0.47	0.52
9540	-70.875	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.03	0.05	-16.28	52.16	50	47.73	0.47	0.47
9541	-70.825	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.04	0.03	-2.33	52.05	52.28	51.87	0.52	0.51
9542	-70.775	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.04	0.08	-2.33	53.6	54.71	54.55	0.54	0.55
9543	-70.725	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.04	0.09	-2.33	53.49	56.41	53.57	0.52	0.55
9544	-70.675	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0	0.01	2.33	50.5	54.32	51.63	0.47	0.56
9545	-70.625	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.03	0.01	-23.26	49.72	49.27	49.67	0.44	0.56
9546	-70.575	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.03	0	-9.3	49.5	51.71	50.81	0.45	0.57
9547	-70.525	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.03	0.01	2.33	50.28	50.57	49.67	0.46	0.53
9548	-70.475	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	0.01	0.06	-23.26	51.94	53.58	53.82	0.45	0.62
9549	-70.425	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.03	0	-37.21	49.83	52.28	53.5	0.46	0.61
9550	-70.375	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.03	-0.02	-51.16	49.17	48.7	47.23	0.35	0.59
9551	-70.325	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.02	-0.04	-16.28	49.06	54.06	48.05	0.42	0.53
9552	-70.275	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.08	-0.08	-37.21	47.73	50.98	46.25	0.35	0.54
9553	-70.225	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.07	-0.06	-30.23	48.62	52.28	47.32	0.34	0.59
9554	-70.175	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.06	-0.02	-23.26	50.39	54.14	49.84	0.36	0.64
9555	-70.125	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.1	-0.08	-44.19	48.06	52.28	46.02	0.3	0.6
9556	-70.075	6.175	Orinoquia occidental	CASANARE	HATO COROZAL	-0.05	0	-30.23	50.5	53.92	52.29	0.44	0.6
9557	-70.025	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	-0.05	0.01	-37.21	50.72	53.29	51.07	0.41	0.61
9558	-69.975	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0	0.03	-23.26	51.38	54.55	53.01	0.43	0.62
9559	-69.925	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.08	0.08	-9.3	53.49	54.55	53.82	0.44	0.63
9560	-69.875	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.09	0.1	-23.26	54.6	56.13	53.76	0.43	0.63
9561	-69.825	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.07	0.08	-23.26	54.15	55.28	53.25	0.41	0.63
9562	-69.775	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.09	0.08	-2.33	53.49	57.06	55.52	0.49	0.61
9563	-69.725	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.09	0.12	-9.3	54.49	53.98	54.55	0.49	0.61
9564	-69.675	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.1	0.12	2.33	53.93	55.78	56.84	0.54	0.61
9565	-69.625	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.07	0.09	-37.21	54.26	55.15	54.58	0.44	0.65
9566	-69.575	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.05	0.07	-16.28	52.27	57.27	54.25	0.5	0.58
9567	-69.525	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.03	0.05	-2.33	51.94	54.55	53.33	0.5	0.57
9568	-69.475	6.175	Orinoquia occidental	ARAUCA	CRAVO NORTE	0.01	0.04	-9.3	51.38	52.84	49.19	0.45	0.53
9569	-69.125	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.38	0.3	12.79	59.8	60.39	63.31	0.68	0.62
9570	-69.075	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.4	0.33	26.74	60.69	68.08	66.29	0.75	0.61
9571	-69.025	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.4	0.34	26.74	61.57	65.8	69.22	0.75	0.67
9572	-68.975	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.38	0.33	23.26	60.91	64.29	68.02	0.72	0.68
9573	-68.925	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.39	0.29	19.77	59.69	66.75	64.39	0.72	0.61
9574	-68.875	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.38	0.3	19.77	59.69	65.2	66.01	0.75	0.61
9575	-68.825	6.175	Orinoquia oriental	VICHADA	LA PRIMAVERA	0.39	0.34	26.74	61.9	68.46	66.67	0.75	0.62
9576	-68.775	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.4	0.33	19.77	61.68	66.83	62.93	0.68	0.61
9577	-68.725	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.39	0.34	23.26	61.35	65.93	66.01	0.75	0.61
9578	-68.625	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.39	0.33	16.28	60.8	62.01	65.2	0.72	0.63
9579	-68.575	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.38	0.34	12.79	61.02	61.71	64.39	0.69	0.64
9580	-68.525	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.36	12.79	61.68	59.36	64.01	0.65	0.67
9581	-68.475	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.38	0.37	12.79	62.02	61.89	64.17	0.66	0.66
9582	-68.425	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.37	16.28	62.24	61.05	64.65	0.66	0.66
9583	-68.375	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.35	0.34	16.28	61.24	60.96	63.31	0.67	0.64
9584	-68.325	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.35	12.79	61.68	59.92	62.6	0.66	0.63
9585	-68.275	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.36	5.81	61.57	61.2	65.1	0.65	0.7
9586	-68.225	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.36	0.36	9.3	61.68	63.19	68.4	0.66	0.75
9587	-68.175	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.39	0.37	12.79	62.35	64.54	69.28	0.68	0.75
9588	-68.125	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.36	19.77	61.79	66.91	71.71	0.71	0.77
9589	-68.075	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.36	0.37	19.77	61.9	66.91	72.03	0.71	0.78
9590	-68.025	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.39	19.77	62.9	67.29	72.24	0.71	0.78
9591	-67.975	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.38	0.41	23.26	63.57	68.13	72.85	0.72	0.78
9592	-67.925	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.41	16.28	63.23	67.43	70.03	0.69	0.75
9593	-67.875	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.37	0.41	16.28	63.57	65.61	67.97	0.65	0.75
9594	-67.825	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.36	0.41	12.79	62.79	63.58	67.48	0.64	0.75
9595	-67.775	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.35	0.37	19.77	61.9	65.8	67.75	0.68	0.72
9596	-67.725	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.33	0.36	30.23	62.13	67.78	69.97	0.7	0.75
9597	-67.675	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.32	0.37	26.74	62.02	66.42	70.89	0.72	0.74
9598	-67.625	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.28	0.34	12.79	61.13	64.96	69.27	0.64	0.78
9599	-67.575	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.28	0.37	5.81	61.57	65.39	70.52	0.64	0.81
9600	-67.525	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.32	0.4	16.28	62.9	67.05	71.43	0.7	0.78
9601	-67.475	6.175	Orinoquia oriental	VICHADA	PUERTO CARREÑO	0.31	0.36	12.79	61.13	68.1	69.32	0.7	0.74
9602	-77.475	6.125	Pacífico norte y central	CHOCÓ	BAHÍA SOLANO	0.14	0.35	16.28	63.23	65.11	69.77	0.69	0.74
9603	-77.425	6.125	Pacífico norte y central	CHOCÓ	BAHÍA SOLANO	0.08	0.33	26.74	61.57	69.14	64.5	0.68	0.64
9604	-77.375	6.125	Pacífico norte y central	CHOCÓ	BAHÍA SOLANO	0.08	0.33	23.26	61.46	69.53	65.36	0.68	0.66
9605	-77.325	6.125	Pacífico norte y central	CHOCÓ	BAHÍA SOLANO	0.11	0.37	26.74	63.57	69.54	67.75	0.69	0.71
9606	-77.275	6.125	Pacífico norte y central	CHOCÓ	BAHÍA SOLANO	0.14	0.38	23.26	63.9	69.46	69.22	0.7	0.73
9607	-77.225	6.125	Pacífico norte y central	CHOCÓ	BOJAYÁ	0.12	0.38	19.77	64.23	66.34	67.15	0.69	0.67
9608	-77.175	6.125	Pacífico norte y central	CHOCÓ	BOJAYÁ	0.11	0.38	16.28	64.23	64.07	67.32	0.7	0.67
9609	-77.125	6.125	Pacífico norte y central	CHOCÓ	BOJAYÁ	0.15	0.42	16.28	65.67	67.65	70.1	0.69	0.76
9610	-77.075	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.17	0.43	19.77	65.89	68.18	71.75	0.7	0.78
9611	-77.025	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.19	0.44	16.28	66.45	68.62	72.36	0.71	0.78
9612	-76.975	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.16	0.39	16.28	64.45	67.53	71.27	0.7	0.76
9613	-76.925	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.17	0.39	16.28	64.78	68.62	71.06	0.71	0.75
9614	-76.875	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.21	0.42	26.74	65.45	69.84	71.54	0.74	0.74
9615	-76.825	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.23	0.41	26.74	65.23	68.7	70.89	0.72	0.74
9616	-76.775	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.26	0.43	23.26	66.11	65.96	69.22	0.7	0.72
9617	-76.725	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.24	0.45	23.26	67	65.96	71.01	0.71	0.76
9618	-76.675	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.25	0.47	23.26	67.66	65.91	70.13	0.69	0.76
9619	-76.625	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.25	0.44	16.28	66.89	64.9	71.34	0.7	0.77
9620	-76.575	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.29	0.5	30.23	68.77	70.94	74.35	0.73	0.8
9621	-76.525	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.33	0.5	23.26	68.99	66.1	70.89	0.72	0.72
9622	-76.475	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.31	0.51	16.28	69.99	64.29	71.92	0.71	0.76
9623	-76.425	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.34	0.5	33.72	69.32	66.8	73.54	0.78	0.71
9624	-76.375	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.31	0.47	26.74	68.11	66.07	75.16	0.78	0.75
9625	-76.325	6.125	Pacífico norte y central	CHOCÓ	MEDIO ATRATO	0.36	0.48	23.26	68.77	65.61	77.24	0.79	0.79
9626	-76.275	6.125	Pacífico norte y central	CHOCÓ	QUIBDÓ	0.36	0.43	23.26	65.78	67.29	74.51	0.77	0.76
9627	-76.225	6.125	Medellín - Carare - Opón	CHOCÓ	QUIBDÓ	0.3	0.32	30.23	60.91	71.91	68.73	0.68	0.75
9628	-76.175	6.125	Medellín - Carare - Opón	ANTIOQUIA	URRAO	0.32	0.32	19.77	61.24	65.77	67.32	0.68	0.71
9629	-76.125	6.125	Medellín - Carare - Opón	ANTIOQUIA	URRAO	0.31	0.33	12.79	61.13	63.98	67.64	0.69	0.71
9630	-76.075	6.125	Medellín - Carare - Opón	ANTIOQUIA	URRAO	0.29	0.27	19.77	59.03	64.45	63.31	0.69	0.61
9631	-76.025	6.125	Medellín - Carare - Opón	ANTIOQUIA	URRAO	0.29	0.3	26.74	60.24	67.67	66.61	0.72	0.65
9632	-75.975	6.125	Medellín - Carare - Opón	ANTIOQUIA	BETULIA	0.22	0.23	16.28	57.36	64.29	58.44	0.62	0.57
9633	-75.925	6.125	Medellín - Carare - Opón	ANTIOQUIA	BETULIA	0.23	0.25	19.77	58.36	64.47	62.6	0.67	0.61
